species	Merian	nb_fusion	nb_fission	size	chrom_size	tot_bp_A	tot_bp_B	avg_PC1	avg_insulation	avg_TAD_length	avg_ratio_inter_intra	avg_S	avg_slope_loglog_all	avg_slope_loglog_0_10	avg_R1_interchrom	avg_R1_interchrom_norRNA	strength
Emelampus	M20M17	0	0	19464738	19772087	8280000	10320000	-0.117012	0.0565046	254693	12.8816	2.34509	-0.477075	-0.658792	4.37463e-4	4.42589e-4	4.122180417
Emelancholica	M20M17	2	0	21079266	21267665	7480000	12880000	-0.270984	0.0390379	249928	15.9152	2.31362	-0.319235	-0.595474	7.90994e-4	7.90315e-4	3.242138054
Emeolans	M20M17	1	0	20450022	38091167	12240000	7520000	0.101388	0.0367846	256782	6.1994	2.18282	-0.997256	-1.00097	3.60893e-4	3.62305e-4	4.144023584
Emnestra	M20M17	2	0	18592235	66522839	6720000	11040000	-0.309225	0.0542154	243133	3.13993	2.28052	-0.78465	-0.832388	4.09432e-4	4.08115e-4	3.111250324
Emontana	M20M17	2	0	22739253	22956232	16080000	5520000	0.323407	0.0712501	279638	14.1122	2.32324	-0.434177	-0.635972	2.15794e-4	2.15572e-4	3.372115444
Epalarica	M20M17	1	0	21757318	40024699	12240000	8520000	0.00923573	0.025561	270141	3.78413	2.52253	-1.10891	-1.21337	0.00101597	0.00100921	3.093911002
Epharte	M20M17	3	0	25999964	36939056	2840000	14440000	-0.499532	0.139267	430181	1.48892	2.68777	-1.17051	-0.95296	0.00253889	0.00254899	2.914084508
Epronoe	M20M17	2	0	21109599	21303787	4840000	11200000	-0.406837	0.0761598	399745	3.01419	2.8632	-0.771457	-0.843707	0.00268939	0.00270282	3.590528168
Erondoui	M20M17	3	3	23156148	23268837	12680000	9040000	0.199682	0.0739543	292321	13.1157	2.24029	-0.43164400000000003	-0.628292	6.58451e-4	6.54919e-4	3.631358252
Estirius	M20M17	2	0	22040484	22410957	6680000	14240000	-0.316127	0.0555894	281442	7.14395	2.32389	-0.523306	-0.703512	5.14821e-4	5.17102e-4	3.608473812
Esudetica	M20M17	0	0	19948207	19950097	7320000	11560000	-0.25735	0.0732463	264818	17.0219	2.4008	-0.376663	-0.710718	3.55595e-4	3.5585e-4	3.694187266
Etriaria	M20M17	2	0	19420193	19713362	7720000	10960000	-0.249435	0.0568954	285239	16.1112	2.33272	-0.416895	-0.711544	7.9022e-4	7.89327e-4	3.466006671
Mcinxia	M20M17	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M20M17	0	0	16478106	16498950	NA	NA	NA	NA	241149	21.736	2.20722	-0.350628	-0.444744	3.4497e-4	3.44909e-4	3.658921408
X2575	M20M17	0	0	22529368	22739032	11160000	10000000	0.165043	0.0461755	264190	2.5562	2.50015	-0.501517	-0.576902	0.00164115	0.0016439	4.960677323
X2576	M20M17	0	0	23264837	23268103	12800000	8880000	0.215039	0.05131	289494	2.63148	2.51407	-0.487403	-0.602109	0.00173568	0.00173481	4.02124393
X3252	M20M17	0	0	22700852	22746613	7760000	13280000	-0.213738	0.0708993	334561	5.47633	2.52999	-0.297537	-0.487797	0.00131265	0.00131134	3.528131759
X3258	M20M17	1	3	22357975	44836625	9080000	11440000	-0.164481	0.0100982	263107	2.63779	2.36027	-0.841176	-0.81206	0.00124162	0.00123672	3.93218219
X3311	M20M17	2	0	19278116	33279962	9200000	9320000	0.0273445	0.0520932	253160	4.44013	2.24566	-0.71963	-0.773665	0.00175408	0.00176935	3.490078493
X3506	M20M17	2	0	22651471	22717863	12800000	8520000	0.256544	0.040539	256046	1.04155	2.44063	-0.444513	-0.722536	9.09622e-4	9.14737e-4	5.536072636
X3531	M20M17	3	3	25025941	60656581	14000000	9040000	0.213701	0.00436509	277876	0.666635	2.44492	-1.36359	-1.06065	0.00145778	0.0014579	4.695292404
X3737	M20M17	1	3	21370589	42828383	12560000	7640000	0.262555	-0.0134083	273896	1.60941	2.235	-1.02033	-0.955639	0.00147648	0.00148962	5.016058601
C0001	M18	3	0	18555235	42834750	NA	NA	NA	NA	303517	NA	NA	-0.648298	-0.68637	0.00113665	0.00113998	3.232885522
C0055	M18	2	0	17753097	39193404	NA	NA	NA	NA	292017	NA	NA	-0.683581	-0.758574	0.00140069	0.00141812	3.582900485
C0080	M18	3	0	17088409	57446302	NA	NA	NA	NA	275475	NA	NA	-0.809611	-0.788529	4.80539e-4	4.92636e-4	2.761064602
C0100	M18	2	0	17174598	36212410	NA	NA	NA	NA	292839	NA	NA	-0.597755	-0.627726	2.76667e-4	2.76557e-4	3.072537108
Eaethiops	M18	3	0	17264715	37891540	NA	NA	NA	NA	290745	NA	NA	-0.46057	-0.470237	7.77116e-4	7.77478e-4	2.210297021
Ealbergana	M18	3	0	16620045	39378812	NA	NA	NA	NA	955941	NA	NA	-1.22434	-1.20835	0.00155749	0.00155674	3.215702049
Ebubastis	M18	2	0	18240150	18310919	5560000	11915032	-0.264559	0.0599812	303982	15.4399	2.07622	-0.260703	-0.433717	2.38748e-4	2.39899e-4	3.719075499
Echristi	M18	5	0	19508419	59666597	NA	NA	NA	NA	324649	NA	NA	-0.637514	-0.621347	3.44205e-4	3.41701e-4	0.91011768
Edisa	M18	0	0	20635726	20779452	6440000	12800000	-0.285052	0.078502	334424	13.1637	1.99808	-0.350793	-0.517181	6.85164e-4	6.84951e-4	3.772483587
Eembla	M18	0	0	20636570	20758573	6360000	12920000	-0.239992	0.0757529	324311	12.7845	2.01383	-0.309267	-0.490998	0.00148733	0.00149595	3.591468005
Eepiphron	M18	6	0	17359472	55946633	NA	NA	NA	NA	310906	NA	NA	-0.843498	-0.838219	0.0011946	0.00119529	2.795895125
Eeriphyle	M18	2	0	18258104	18312529	7080000	10440000	0.0285062	0.0525797	283098	7.98537	2.03993	-0.188166	-0.409515	8.15093e-4	8.16378e-4	4.948745465
Eflavofasciata	M18	4	0	18629528	60306531	NA	NA	NA	NA	304407	NA	NA	-0.657849	-0.642293	6.61043e-4	6.47818e-4	2.576331958
Egorge	M18	3	0	19167292	41289582	NA	NA	NA	NA	305661	NA	NA	-0.696219	-0.668954	7.18168e-4	7.19281e-4	0.63656953
Eligea	M18	2	0	18953232	19086540	7120000	10480000	0.0802207	0.0480838	348922	0.685633	2.46635	-0.281003	-0.472738	0.00230722	0.00229202	4.252616606
Emanto	M18	2	0	18449053	18469692	6080000	11680000	-0.215067	0.0486514	317655	19.6321	2.32975	-0.367873	-0.535785	3.27542e-4	3.26821e-4	3.134178652
Emedusa	M18	4	0	18307569	56675833	NA	NA	NA	NA	290550	NA	NA	-0.901475	-0.793853	2.82687e-4	2.82193e-4	2.00142282
Emelampus	M18	3	0	16151669	47278299	NA	NA	NA	NA	313755	NA	NA	-0.486367	-0.570461	4.52066e-4	4.54368e-4	0.765789765
Emelancholica	M18	4	0	17361689	37865109	NA	NA	NA	NA	314077	NA	NA	-0.579594	-0.573625	7.3408e-4	7.34137e-4	2.580051386
Emeolans	M18	3	0	16850353	37839251	NA	NA	NA	NA	296667	NA	NA	-0.651109	-0.704508	3.47654e-4	3.50809e-4	0.729828932
Emnestra	M18	3	0	17033280	38343141	NA	NA	NA	NA	324440	NA	NA	-0.70171	-0.710414	3.75338e-4	3.76931e-4	3.407126135
Emontana	M18	4	0	19543909	43273759	NA	NA	NA	NA	316695	NA	NA	-0.512695	-0.524519	2.12888e-4	2.13348e-4	0.906254585
Epalarica	M18	3	0	17238429	38410055	NA	NA	NA	NA	264823	NA	NA	-0.890553	-0.919296	0.00111675	0.0011041	2.619391119
Epharte	M18	6	0	20474407	45844451	NA	NA	NA	NA	522122	NA	NA	-1.12001	-0.790424	0.00254962	0.00255123	2.650575804
Epronoe	M18	4	0	16927759	54007186	NA	NA	NA	NA	554385	NA	NA	-0.985237	-0.868739	0.00264077	0.00265061	2.853115706
Erondoui	M18	4	0	19194963	41620833	NA	NA	NA	NA	294452	NA	NA	-0.557292	-0.59415	6.52528e-4	6.55194e-4	0.868904232
Estirius	M18	4	0	18533217	41748716	NA	NA	NA	NA	333717	NA	NA	-0.576302	-0.576907	4.91394e-4	4.91872e-4	2.950690904
Esudetica	M18	3	0	16216647	47802122	NA	NA	NA	NA	310353	NA	NA	-0.612327	-0.68111	3.64605e-4	3.64841e-4	2.277771028
Etriaria	M18	4	0	17832654	39627365	NA	NA	NA	NA	325431	NA	NA	-0.728353	-0.708315	8.10811e-4	8.1326e-4	0.699348449
Mcinxia	M18	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M18	0	0	15087273	15111341	NA	NA	NA	NA	301438	23.4633	2.01798	-0.18352	-0.31572	3.845e-4	3.83577e-4	2.890574527
X2575	M18	2	0	19509081	19581547	7480000	10840000	0.0638616	0.052265	301861	2.72738	2.26982	-0.361956	-0.465553	0.00163644	0.00163408	4.244766149
X2576	M18	2	0	20385927	20394195	6960000	11680000	-0.0469803	0.0678155	291406	2.73269	2.31855	-0.367105	-0.495043	0.00178798	0.00179028	3.581209549
X3252	M18	1	0	19675409	42344041	NA	NA	NA	NA	344907	NA	NA	-0.438117	-0.453257	0.00126343	0.00126819	2.636616541
X3258	M18	3	0	17790770	59643170	NA	NA	NA	NA	287229	NA	NA	-0.665616	-0.626347	0.00123813	0.00124543	3.510443323
X3311	M18	3	0	16685694	35339010	NA	NA	NA	NA	311314	NA	NA	-0.721542	-0.67901	0.00183441	0.00181826	3.337008559
X3506	M18	3	0	18493555	41158202	NA	NA	NA	NA	295098	NA	NA	-0.603582	-0.689894	8.78496e-4	8.83467e-4	3.88126262
X3531	M18	4	0	18004434	62330422	NA	NA	NA	NA	271922	NA	NA	-0.763762	-0.725848	0.00127127	0.0012804	4.082928937
X3737	M18	3	0	17573915	59681672	NA	NA	NA	NA	288931	NA	NA	-0.713181	-0.743878	0.00140413	0.00139383	3.815849223
C0001	M19	0	0	10048262	21380054	5040000	4720000	-0.0325783	0.0690726	231233	8.02593	2.61928	-0.505399	-0.50729	0.00104292	0.00104651	2.60083817
C0055	M19	0	1	10523415	10702800	4760000	5120000	-0.124324	0.0592856	241077	6.57451	2.49954	-0.307814	-0.307814	0.00142062	0.00143471	3.74234782
C0080	M19	2	2	11649595	100512774	6280000	4760000	0.28494	-0.00677835	244660	0.76897	2.51782	-0.938795	-0.960182	5.21411e-4	5.24287e-4	2.246494037
C0100	M19	0	2	10968634	10643030	7040000	3360000	0.234353	0.0486205	263077	26.265	2.49553	-0.261585	-0.261585	2.75875e-4	2.78444e-4	2.591669466
Eaethiops	M19	0	0	10039122	20667130	4600000	4560000	-0.0236936	0.193283	289152	19.445	2.76427	-0.408983	-0.411322	8.58512e-4	8.60277e-4	2.578706678
Ealbergana	M19	0	0	10274828	20161396	5760000	3560000	0.30149	0.0337522	734889	1.43725	3.40704	-0.882296	-0.889347	0.00166105	0.00161656	3.428486858
Ebubastis	M19	0	0	11508821	21862782	3400000	7440000	-0.286061	0.02385	257476	12.8137	2.36472	-0.629911	-0.635702	2.63946e-4	2.64988e-4	2.28985246
Echristi	M19	0	0	12407824	24329225	4000000	8000000	-0.223249	0.031001	272744	11.7304	2.58717	-0.592409	-0.618132	3.7787e-4	3.75554e-4	2.152793865
Edisa	M19	0	0	13043887	24500556	8560000	3040000	0.274313	0.0723903	309025	10.8884	2.1992	-0.494536	-0.547343	7.17378e-4	7.16068e-4	2.359618858
Eembla	M19	0	0	12397909	23322950	3400000	7960000	-0.226606	0.0222201	299051	10.5955	2.22776	-0.475985	-0.519637	0.00153232	0.00152693	2.244182178
Eepiphron	M19	1	0	12002861	44526442	320000	10200000	-0.478006	-0.0348771	270595	6.52466	2.1949	-0.62387	-0.68514	0.00129389	0.00131293	1.204717114
Eeriphyle	M19	0	0	10913408	20721460	6880000	3520000	0.25061	-0.0400515	235773	6.79461	2.40549	-0.491322	-0.504747	7.94908e-4	8.05615e-4	2.86037851
Eflavofasciata	M19	0	0	12022037	23425150	5320000	6160000	-0.119525	0.0154434	278732	5.57393	2.59548	-0.52142	-0.553525	6.64586e-4	6.68591e-4	2.437165836
Egorge	M19	0	0	10696333	20198989	7960000	2240000	0.359059	0.0366248	252725	11.2831	2.39418	-0.517142	-0.533236	6.8444e-4	6.83036e-4	2.806480887
Eligea	M19	0	0	10694144	21957822	7880000	2000000	0.434705	0.0382023	268538	0.599607	2.74173	-0.461185	-0.484051	0.00226144	0.00221051	2.409226694
Emanto	M19	0	0	11489466	21889959	5000000	6040000	-0.143458	0.0420426	243511	16.377	2.50681	-0.576389	-0.60006	3.43979e-4	3.43211e-4	2.225557507
Emedusa	M19	1	0	10666750	67860627	2280000	7880000	-0.285365	-0.0196406	261025	4.45764	2.40396	-0.686873	-0.694271	2.72682e-4	2.75177e-4	1.175330015
Emelampus	M19	0	0	11307728	20474587	4920000	5440000	-0.109844	-0.00848656	260268	11.4371	2.3907	-0.418739	-0.458895	4.81444e-4	4.8193e-4	2.614240837
Emelancholica	M19	1	0	10824069	20909187	4560000	5880000	-0.161	0.015271	253429	16.2736	2.3826	-0.521767	-0.53306	7.3918e-4	7.39772e-4	2.263022378
Emeolans	M19	0	0	11153191	22430873	4800000	5800000	-0.143641	-0.0218201	258925	11.8704	2.33521	-0.857689	-0.867205	3.67374e-4	3.69146e-4	2.332055257
Emnestra	M19	0	0	10079821	20342883	4240000	5320000	-0.161562	0.00877343	235357	11.9595	2.35578	-0.631619	-0.634045	4.12633e-4	4.13744e-4	2.462735135
Emontana	M19	1	0	11963291	23398372	2440000	8880000	-0.331688	0.0866979	244396	13.6369	2.42022	-0.474162	-0.498287	2.28461e-4	2.3026e-4	2.194468566
Epalarica	M19	0	0	11351429	19361803	2000000	8640000	-0.274348	0.0451632	253167	8.15981	2.56176	-0.957337	-0.984554	0.00104008	0.00105149	2.214490317
Epharte	M19	1	0	13652203	26487810	2120000	6800000	-0.446776	0.0666846	552364	2.34256	2.78404	-0.689363	-0.769037	0.00253269	0.0025472	3.247550967
Epronoe	M19	1	0	10657257	20506088	2600000	5400000	-0.319462	0.0565105	634467	3.16303	2.9295	-0.715502	-0.735669	0.00265748	0.00264614	2.976984824
Erondoui	M19	2	2	12070519	23324128	9320000	2040000	0.353753	0.0709281	267886	12.8207	2.33903	-0.499079	-0.538885	6.88102e-4	6.84807e-4	2.390739695
Estirius	M19	1	0	11814309	22775762	4280000	6720000	-0.210168	0.0665987	256756	6.53742	2.38722	-0.551433	-0.587634	5.5266e-4	5.5364e-4	2.323949096
Esudetica	M19	0	0	11148480	20597775	4840000	5520000	-0.163387	0.031663	263825	16.1915	2.47264	-0.499514	-0.527234	3.74435e-4	3.76238e-4	2.528707281
Etriaria	M19	1	0	10385759	21132875	4520000	5280000	-0.163045	0.108533	252590	15.6965	2.35096	-0.516728	-0.531349	7.99674e-4	8.06765e-4	2.367082655
Mcinxia	M19	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M19	0	0	8120690	16206753	NA	NA	NA	NA	233324	22.6667	2.31166	-0.428991	-0.428991	3.78063e-4	3.72813e-4	2.089066867
X2575	M19	0	0	11743424	23520168	7920000	3160000	0.322388	0.0299125	253545	2.3292	2.56688	-0.401958	-0.436821	0.00161858	0.00162145	2.867633866
X2576	M19	0	0	12668104	24995221	9280000	2200000	0.38365899999999997	0.031815	270886	2.3012	2.60561	-0.565388	-0.553577	0.00175599	0.00175992	2.627626411
X3252	M19	0	0	12058932	23741536	4280000	6720000	-0.218705	0.0588579	324486	5.42973	2.61758	-0.351839	-0.389467	0.00124521	0.0012523	2.522127121
X3258	M19	2	2	11638720	53625971	7800000	3120000	0.299975	-0.116618	250804	1.75588	2.44473	-0.647521	-0.677061	0.00126957	0.00127044	2.653852262
X3311	M19	1	0	9741886	36203990	6120000	2960000	0.261665	0.0692471	242816	4.08901	2.35521	-0.536742	-0.536742	0.00170513	0.00170327	2.300096488
X3506	M19	1	0	12093191	23423864	7920000	3440000	0.364949	0.00497749	263333	0.859429	2.52544	-0.637406	-0.679089	9.687e-4	9.98634e-4	3.111447977
X3531	M19	2	2	11396537	58256706	7440000	3360000	0.417912	-1.23117e-5	250453	0.974138	2.52596	-0.506187	-0.538888	0.00135677	0.00136061	3.068432162
X3737	M19	2	2	11514376	53234969	8440000	2440000	0.429461	-0.0842781	237826	0.994706	2.30414	-0.840734	-0.874671	0.00161623	0.00158831	2.584942001
C0001	M2	2	0	19950719	19993983	8440000	10920000	-0.0997848	0.0298206	254865	7.93421	2.499	-0.36933	-0.640077	0.00102982	0.00103895	3.409997189
C0055	M2	0	1	21551813	10858941	8240000	12000000	-0.162743	0.0512445	274303	5.58643	2.39711	-0.334332	-0.319167	0.00137998	0.00138658	4.517727127
C0080	M2	5	12	21957864	51384221	10480000	10400000	-0.147794	0.0347958	275727	1.30767	2.4193	-1.009	-0.961768	5.20574e-4	5.23092e-4	3.370473053
C0100	M2	4	12	22486179	9909090	10720000	10920000	0.144229	0.00493822	283726	30.2617	2.35924	-0.258191	-0.258191	2.70848e-4	2.72611e-4	3.87041233
Eaethiops	M2	0	0	20323618	20393906	7160000	11520000	-0.169682	0.0833792	288500	18.8109	2.69395	-0.306972	-0.540476	8.46305e-4	8.46184e-4	3.182660064
Ealbergana	M2	0	0	20133021	20394104	7880000	10440000	-0.0581222	0.0149712	919526	1.42131	3.35864	-0.754087	-0.969178	0.00155335	0.00155148	4.77924122
Ebubastis	M2	0	0	22258284	22283672	5920000	15080000	-0.319869	0.0754441	253614	12.1568	2.27213	-0.30491	-0.535378	2.53563e-4	2.55584e-4	2.954950662
Echristi	M2	1	0	23664765	36006851	5920000	17000000	-0.304131	-0.0377022	294203	7.19537	2.51336	-0.865942	-0.788645	3.69027e-4	3.70611e-4	0.93007862
Edisa	M2	0	0	26683730	26769592	6360000	17720000	-0.341408	0.0865908	300425	9.65357	2.15729	-0.398727	-0.621969	7.04635e-4	7.05413e-4	3.15338911
Eembla	M2	0	0	24652351	24726374	6800000	15960000	-0.288748	0.0788069	286590	10.3616	2.15229	-0.324272	-0.545324	0.0015338	0.00151891	3.19899108
Eepiphron	M2	3	1	23976217	24047148	8040000	13520000	-0.256081	0.109446	284807	12.6113	2.14964	-0.610005	-0.902898	0.00124908	0.0012382	3.213692187
Eeriphyle	M2	0	0	21332335	21404829	9000000	11600000	0.0350226	0.0378624	255350	6.77865	2.23515	-0.273275	-0.521462	7.40101e-4	7.40829e-4	4.607308463
Eflavofasciata	M2	0	0	23375189	23469644	7240000	14920000	-0.255825	0.05353	271030	5.69166	2.48682	-0.448198	-0.624632	6.93696e-4	6.89732e-4	2.992516506
Egorge	M2	2	0	20732048	35929433	17600000	2280000	0.57695	0.0778357	259693	6.25711	2.2899	-0.591162	-0.688434	6.86216e-4	6.85671e-4	0.940541233
Eligea	M2	0	0	20447326	20502510	14600000	4280000	0.385051	0.0453864	305312	0.59776	2.61483	-0.452177	-0.636621	0.00234595	0.00237998	3.763300835
Emanto	M2	0	0	22003834	22012891	7600000	13360000	-0.275328	0.0524161	267118	16.0754	2.45659	-0.419518	-0.656129	3.35544e-4	3.34577e-4	3.08928988
Emedusa	M2	3	0	21152553	67860627	4000000	16440000	-0.292565	0.104104	282054	4.43452	2.32265	-0.93677	-0.847585	2.75409e-4	2.76314e-4	1.367571044
Emelampus	M2	0	0	20482436	20486702	7400000	12120000	-0.194551	0.0567801	259867	11.9525	2.33951	-0.360611	-0.595199	4.64247e-4	4.64323e-4	3.25080113
Emelancholica	M2	6	2	22940402	48572573	4880000	17200000	-0.37034	-0.0266109	283063	5.89259	2.27247	-0.686916	-0.682045	7.54971e-4	7.58331e-4	2.44914909
Emeolans	M2	1	0	20289380	31184399	4560000	15160000	-0.336458	0.00709952	278403	7.70007	2.21298	-0.773057	-0.798679	3.66404e-4	3.64075e-4	2.421450348
Emnestra	M2	1	0	19837693	39848818	5160000	13880000	-0.411996	0.0168707	266712	5.11446	2.24326	-0.757334	-0.801184	3.97615e-4	3.97255e-4	3.092282517
Emontana	M2	6	2	24543643	54743242	19320000	3920000	0.375703	0.0629558	298667	5.16183	2.30193	-0.703173	-0.690194	2.19624e-4	2.18924e-4	1.880967686
Epalarica	M2	1	0	21785081	32765164	7440000	13160000	-0.190538	-0.0131342	258500	4.38614	2.55105	-0.978915	-1.0588	9.8852e-4	9.78416e-4	2.657373921
Epharte	M2	3	1	26482793	52396646	14760000	3280000	0.422296	0.150488	397071	0.990732	2.73749	-1.26303	-0.880082	0.00251131	0.00252057	1.649962408
Epronoe	M2	6	2	23089051	33550484	3560000	13520000	-0.561154	0.087428	398204	1.82687	2.83784	-0.980183	-0.820079	0.00268702	0.002692	3.199726815
Erondoui	M2	7	14	23889641	23923201	17640000	4760000	0.339712	0.0798244	290397	12.5363	2.21676	-0.428237	-0.590267	6.57321e-4	6.55966e-4	2.895224631
Estirius	M2	6	2	23637895	51764746	3600000	18840000	-0.454398	0.0249268	253707	2.30907	2.29707	-0.788983	-0.752113	5.31238e-4	5.33041e-4	1.346704464
Esudetica	M2	0	0	20704076	20708375	7480000	12080000	-0.278007	0.0750198	259595	16.1443	2.39285	-0.287722	-0.698863	3.66793e-4	3.68582e-4	3.871627671
Etriaria	M2	3	0	20041545	20125117	6960000	12280000	-0.283483	0.0605455	242077	15.4622	2.31085	-0.308017	-0.659499	8.10901e-4	8.16623e-4	3.416207439
Mcinxia	M2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M2	0	0	17167036	17167998	NA	NA	NA	NA	269607	20.8466	2.20321	-0.288684	-0.414655	3.73107e-4	3.73321e-4	2.799794738
X2575	M2	0	0	23255788	23273520	12360000	9320000	0.209898	0.0499167	272305	2.36497	2.4725799999999998	-0.421368	-0.514186	0.00163738	0.00162276	3.635782527
X2576	M2	0	0	23481924	24294542	15920000	5800000	0.334539	0.0559231	284765	2.28407	2.49061	-0.548506	-0.568733	0.00176227	0.00177399	3.050685752
X3252	M2	0	0	22644166	22788675	6840000	14360000	-0.250892	0.0645047	339328	5.26347	2.51792	-0.333091	-0.441005	0.00127031	0.00126639	2.965770953
X3258	M2	5	12	21861833	51726949	13920000	6520000	0.310596	0.043492	263375	2.16223	2.32997	-0.86691	-0.755503	0.0013125	0.00129139	3.481504552
X3311	M2	3	0	18866787	34657205	7880000	10320000	-0.0305823	0.0356302	259944	3.79435	2.24138	-0.703182	-0.721161	0.00188322	0.00191079	3.070759106
X3506	M2	3	0	24792634	55380594	18320000	4960000	0.419341	0.101146	265848	0.340613	2.42634	-0.955882	-0.82893	9.88237e-4	9.8619e-4	3.118608808
X3531	M2	7	14	24073382	55578212	8520000	13720000	-0.319335	-0.0505929	268854	0.660637	2.46645	-1.27673	-0.942772	0.00143653	0.00143282	3.239019677
X3737	M2	5	12	21329836	50890982	12640000	7600000	0.354727	0.0259959	271776	1.21196	2.23074	-0.908805	-0.884894	0.00146946	0.00149052	4.055271753
C0001	M21	3	0	15823995	33198804	5480000	9880000	-0.24989	0.0940466	299308	3.99814	2.40318	-0.530714	-0.615794	0.00106185	0.00106183	2.955378286
C0055	M21	1	2	16483499	11429500	4600000	10960000	-0.292408	0.0568725	284750	5.12797	2.2925	-0.239732	-0.304091	0.00135024	0.0013156	3.975002776
C0080	M21	6	13	17333193	100512774	9560000	6760000	0.22256600000000001	0.108673	294500	0.622927	2.36987	-0.923766	-0.908737	5.50271e-4	5.50404e-4	2.941218149
C0100	M21	4	13	16141160	9648330	9080000	6520000	0.137836	0.0790317	279861	25.9608	2.29529	-0.48841	-0.48841	2.77298e-4	2.78748e-4	3.914266387
Eaethiops	M21	2	0	15983615	33210166	5360000	9080000	-0.229696	0.0622238	302404	11.2739	2.63408	-0.359563	-0.438664	8.64771e-4	8.66432e-4	2.884254238
Ealbergana	M21	1	0	15995741	15998670	6080000	8560000	0.155717	0.0155682	910667	1.90184	3.32276	-0.508763	-0.671773	0.00153031	0.00153002	4.55809621
Ebubastis	M21	0	0	17325444	17367408	11960000	4480000	0.350022	0.0642513	334275	16.0425	2.13444	-0.168547	-0.383787	2.34507e-4	2.31801e-4	2.700733551
Echristi	M21	4	0	18093923	34853143	1400000	15600000	-0.613503	0.261437	316411	8.7327	2.41765	-0.343088	-0.540017	3.71932e-4	3.68681e-4	1.031270225
Edisa	M21	0	0	19092611	19097376	13240000	4360000	0.334974	0.0775848	335429	14.4881	2.04421	-0.16605	-0.435088	7.06716e-4	7.12748e-4	3.446816504
Eembla	M21	0	0	19046648	19090841	4800000	12800000	-0.306889	0.0765385	359423	13.9167	2.07441	-0.184026	-0.427665	0.00149656	0.00149131	3.140337923
Eepiphron	M21	6	0	17031283	32172529	600000	15240000	-0.601575	0.312584	303636	10.0224	2.07214	-0.631079	-0.768271	0.00127472	0.00124731	1.696574958
Eeriphyle	M21	0	0	17176678	17307825	8280000	8120000	0.206899	0.0440931	272710	8.82427	2.10678	-0.213254	-0.376382	7.58958e-4	7.50568e-4	4.350778144
Eflavofasciata	M21	3	0	17758124	30337528	4400000	12720000	-0.330992	0.012891	279254	3.89172	2.37626	-0.521446	-0.622506	6.3561e-4	6.32182e-4	2.345981487
Egorge	M21	3	0	16687964	16744430	12080000	3880000	0.331402	0.0534661	292071	14.1095	2.2264	-0.302213	-0.512748	6.82489e-4	6.83e-4	3.360123144
Eligea	M21	0	0	16784155	16808099	12120000	3520000	0.354515	0.0375377	311827	0.756733	2.51727	-0.326885	-0.472112	0.00233174	0.00227113	3.130958185
Emanto	M21	0	0	17501379	17561046	5600000	11080000	-0.281444	0.0416724	318463	20.5323	2.38303	-0.231674	-0.418364	3.31638e-4	3.31098e-4	2.99299915
Emedusa	M21	4	2	16104375	44867491	1640000	13920000	-0.540092	0.0920494	300615	7.4107	2.29169	-0.44735	-0.533982	2.71081e-4	2.68715e-4	1.884209833
Emelampus	M21	1	0	16430037	16442104	5120000	10440000	-0.264104	0.0622609	314314	15.3278	2.24213	-0.286635	-0.492882	4.20511e-4	4.23869e-4	3.174030752
Emelancholica	M21	5	2	16729332	16751073	5040000	11120000	-0.314293	0.0443125	289263	20.5924	2.15395	-0.201879	-0.373283	7.44338e-4	7.43739e-4	2.79607516
Emeolans	M21	3	0	16033786	35789766	12000000	3600000	0.36913	0.0434811	303404	6.56012	2.08852	-0.524757	-0.658894	3.56755e-4	3.58466e-4	2.804270563
Emnestra	M21	2	0	14893031	31145141	3720000	10520000	-0.44808	0.11032	265673	6.75349	2.16563	-0.531781	-0.629201	4.02113e-4	4.00513e-4	2.536231427
Emontana	M21	5	2	17709347	17793263	12800000	4000000	0.319068	0.0695783	322111	18.8005	2.2095	-0.217841	-0.401426	2.10808e-4	2.09408e-4	2.107318288
Epalarica	M21	3	0	16754444	37589252	6120000	10040000	-0.222977	0.0974018	311302	3.72982	2.49666	-0.722876	-0.83093	0.00100778	0.00101698	2.469227858
Epharte	M21	6	0	19587619	44668484	3760000	10240000	-0.363559	0.0533137	431722	0.92805	2.74447	-0.738431	-0.74067	0.00250471	0.00250986	3.101073109
Epronoe	M21	5	2	16305010	28760983	1000000	12240000	-0.756575	0.166362	471412	2.20458	2.84327	-0.757606	-0.702349	0.0026696	0.00267347	3.003450078
Erondoui	M21	6	14	17964158	16842500	12720000	4240000	0.35122	0.0609847	326885	18.5216	2.12868	-0.289161	-0.415543	6.53393e-4	6.54059e-4	2.98112613
Estirius	M21	5	2	17194359	17251472	5000000	11440000	-0.324817	0.054401	306000	9.1531	2.21014	-0.258165	-0.443612	5.22243e-4	5.21281e-4	2.987881559
Esudetica	M21	1	0	16330011	16399095	5440000	10000000	-0.281093	0.0761504	328224	21.1717	2.37492	-0.213196	-0.434211	3.6545e-4	3.65145e-4	3.445313975
